feature,importance,coefficient
feature_10,0.7138864062624642,0.7138864062624642
feature_11,0.6375580092126258,-0.6375580092126258
feature_12,0.5887348662125697,0.5887348662125697
feature_20,0.3924678090899141,0.3924678090899141
feature_19,0.3740056494924611,-0.3740056494924611
feature_17,0.28072242247104157,-0.28072242247104157
feature_15,0.23690970123527288,-0.23690970123527288
feature_6,0.2029506422004848,-0.2029506422004848
feature_16,0.19882625716879532,-0.19882625716879532
feature_14,0.1959231244294291,-0.1959231244294291
feature_3,0.19579528672198498,-0.19579528672198498
feature_13,0.15942574338781104,0.15942574338781104
feature_9,0.12368903375606113,-0.12368903375606113
feature_7,0.08089117515240156,0.08089117515240156
feature_0,0.06845175826074305,0.06845175826074305
feature_2,0.06339979536418222,0.06339979536418222
feature_8,0.06012531275699656,-0.06012531275699656
feature_1,0.05287559605217736,-0.05287559605217736
feature_18,0.02825369437768311,0.02825369437768311
feature_4,0.022306578963955454,0.022306578963955454
feature_5,0.02035279674886408,0.02035279674886408
